Train started: 20200429_1247
F = <module 'torch.nn.functional' from '/home/milkylatte/miniconda3/envs/irobot/lib/python3.8/site-packages/torch/nn/functional.py'>
ENV_NAME = MsPacmanNoFrameskip-v4
ENV_TERM_SCORE = 100000000.0
BATCH_SIZE = 64
GAMMA = 0.99
EPS_START = 1
EPS_END = 0.2
EXP_FRACTION = 0.1
NUMBER_OF_FRAMES = 10000000.0
TARGET_UPDATE = 1000
TRAIN_FREQUENCY = 4
HEIGHT = 84
WIDTH = 84
EPSILON = 0
MEM_SIZE = 10000
LEARNING_STARTS = 10000
SINGLE_EVAL_STEPS = 10000
SCHEDULE_TIMESTEPS = 1000000.0
LEARNING_RATE = 0.0001
PATH = ./deepQ.pt
NUM_EPS_BETWEEN_SAVES = 300
NUM_EPS_TO_SAVE = 6
ALGO_NAME = DDQN

games,frames,epsilon,score,network_loss,delta_t,frames/t
12:47:30,1,187,1,12.0,0,0.296111,631.519936780464
12:47:35,2,308,1,5.0,0,4.901047,24.688602251722948
12:47:35,3,435,1,7.0,0,0.16368,775.9042033235582
12:47:35,4,610,1,4.0,0,0.222633,786.0469921350384
12:47:36,5,763,1,6.0,0,0.190315,803.9303260384099
12:47:36,6,939,1,11.0,0,0.239152,735.93363216699
12:47:36,7,1112,1,9.0,0,0.220729,783.7665191252622
12:47:36,8,1269,1,9.0,0,0.195395,803.5006013459914
12:47:36,9,1357,1,1.0,0,0.116897,752.7994730403689
12:47:37,10,1549,1,10.0,0,0.247158,776.8310149782731
12:47:37,11,1690,1,4.0,0,0.182136,774.1467914086178
12:47:37,12,1847,1,7.0,0,0.198671,790.251219352598
12:47:37,13,2051,1,18.0,0,0.263689,773.6386424917232
12:47:38,14,2194,1,2.0,0,0.181701,787.0072261572584
12:47:38,15,2258,1,4.0,0,0.086902,736.461761524476
12:47:38,16,2442,1,6.0,0,0.235313,781.9372495357247
12:47:38,17,2565,1,8.0,0,0.159245,772.3947376683726
12:47:38,18,2926,1,23.0,0,0.445213,810.8478413703103
12:47:39,19,3107,1,12.0,0,0.236223,766.2251347243919
12:47:39,20,3280,1,15.0,0,0.219563,787.9287493794492
12:47:39,21,3495,1,15.0,0,0.271029,793.2730445819451
12:47:39,22,3673,1,15.0,0,0.263239,676.1915977495736
12:47:40,23,3802,1,4.0,0,0.166906,772.8901297736451
12:47:40,24,3980,1,15.0,0,0.228038,780.5716591094467
12:47:40,25,4104,1,5.0,0,0.165794,747.9160886401197
12:47:40,26,4231,1,9.0,0,0.164784,770.7058937760947
12:47:40,27,4368,1,9.0,0,0.176281,777.1682711125986
12:47:41,28,4517,1,10.0,0,0.194245,767.072511518958
12:47:41,29,4694,1,5.0,0,0.223468,792.0597132475343
12:47:41,30,4825,1,2.0,0,0.166962,784.6096716618152
12:47:41,31,4979,1,8.0,0,0.207159,743.3903426836391
12:47:41,32,5144,1,9.0,0,0.209963,785.8527454837281
12:47:42,33,5363,1,14.0,0,0.275543,794.7942789328708
12:47:42,34,5522,1,8.0,0,0.211427,752.0326164586359
12:47:42,35,5713,1,16.0,0,0.241248,791.7164080116727
12:47:42,36,5860,1,10.0,0,0.18962,775.234679886088
12:47:42,37,6060,1,14.0,0,0.254998,784.3198770186433
12:47:43,38,6155,1,2.0,0,0.124504,763.0276938893529
12:47:43,39,6304,1,1.0,0,0.189053,788.138775898822
12:47:43,40,6487,1,9.0,0,0.238352,767.7720346378466
12:47:43,41,6762,1,13.0,0,0.344274,798.7823652091066
12:47:44,42,6857,1,2.0,0,0.124339,764.0402448145794
12:47:44,43,7013,1,8.0,0,0.206829,754.2462614043485
12:47:44,44,7188,1,9.0,0,0.219553,797.0740550117739
12:47:44,45,7361,1,8.0,0,0.218937,790.1816504291189
12:47:44,46,7550,1,11.0,0,0.246777,765.8736430056285
12:47:45,47,7709,1,8.0,0,0.202057,786.9066649509792
12:47:45,48,7854,1,4.0,0,0.186592,777.096552906877
12:47:45,49,8041,1,12.0,0,0.242681,770.5588818242878
12:47:45,50,8152,1,3.0,0,0.144494,768.1979874596868
12:47:45,51,8277,1,3.0,0,0.161589,773.567507689261
12:47:46,52,8475,1,14.0,0,0.255242,775.7344010781924
12:47:46,53,8546,1,0.0,0,0.096191,738.1147924441996
12:47:46,54,8707,1,5.0,0,0.205131,784.8643062238277
12:47:46,55,8899,1,11.0,0,0.251279,764.0909108998366
12:47:46,56,8964,1,2.0,0,0.089354,727.443651095642
12:47:47,57,9363,1,38.0,0,0.493,809.3306288032454
12:47:47,58,9560,1,12.0,0,0.257169,766.0332310659528
12:47:47,59,9687,1,9.0,0,0.163807,775.3026427442051
12:47:47,60,9842,1,2.0,0,0.193057,802.8716907441843
